rollTimeSum:887759 awardDistance:[808185]
,rollTimeSum:124236378 awardDistance:[270937]
,rollTimeSum:125533115 awardDistance:[1180654]
,rollTimeSum:126298128 awardDistance:[696976]
,rollTimeSum:126891443 awardDistance:[539952]
rollTimeSum:129942711 awardDistance:[1458029]
,rollTimeSum:131694917 awardDistance:[1595452]
,rollTimeSum:131892451 awardDistance:[180083]
,rollTimeSum:132452285 awardDistance:[509652]
,rollTimeSum:133178796 awardDistance:[661390]
,rollTimeSum:133790787 awardDistance:[557357]
,rollTimeSum:134523067 awardDistance:[666751]
rollTimeSum:137024474 awardDistance:[641691]
,rollTimeSum:137337714 awardDistance:[285163]
rollTimeSum:145535243 awardDistance:[165720]
,rollTimeSum:145860131 awardDistance:[295960]
,rollTimeSum:149567177 awardDistance:[3375080]
,rollTimeSum:150081947 awardDistance:[468461]
,rollTimeSum:151265990 awardDistance:[1078467]
,rollTimeSum:153001275 awardDistance:[1580366]
rollTimeSum:159101085 awardDistance:[176598]
,rollTimeSum:159282803 awardDistance:[165608]
,rollTimeSum:161693504 awardDistance:[2194858]
,rollTimeSum:162156200 awardDistance:[421305]
,rollTimeSum:165356538 awardDistance:[2913714]
,rollTimeSum:166620178 awardDistance:[1150463]
rollTimeSum:167560998 awardDistance:[427023]
,rollTimeSum:167808657 awardDistance:[225373]
,rollTimeSum:169830972 awardDistance:[1841544]
,rollTimeSum:174276963 awardDistance:[4048696]
,rollTimeSum:174327644 awardDistance:[46135]
rollTimeSum:176227217 awardDistance:[708026]
,rollTimeSum:177891892 awardDistance:[1516077]
,rollTimeSum:178104697 awardDistance:[193776]
,rollTimeSum:178419638 awardDistance:[286737]
,rollTimeSum:178917784 awardDistance:[453600]
,rollTimeSum:179752955 awardDistance:[760258]
,rollTimeSum:179949378 awardDistance:[178967]
,rollTimeSum:180334982 awardDistance:[351210]
,rollTimeSum:182077655 awardDistance:[1587141]
,rollTimeSum:182104068 awardDistance:[23982]
rollTimeSum:186926850 awardDistance:[468592]
,rollTimeSum:188653936 awardDistance:[1573032]
,rollTimeSum:189117081 awardDistance:[421710]
,rollTimeSum:189871841 awardDistance:[687140]
,rollTimeSum:189902629 awardDistance:[28034]
,rollTimeSum:191186402 awardDistance:[1168513]
,rollTimeSum:191474061 awardDistance:[261887]
rollTimeSum:195409802 awardDistance:[873217]
,rollTimeSum:195702558 awardDistance:[266749]
,rollTimeSum:197854225 awardDistance:[1958701]
,rollTimeSum:198362097 awardDistance:[462564]
,rollTimeSum:198703198 awardDistance:[310496]
,rollTimeSum:200170816 awardDistance:[1336485]
,rollTimeSum:200378276 awardDistance:[188852]
,rollTimeSum:201615601 awardDistance:[1126474]
,rollTimeSum:201726913 awardDistance:[101413]
rollTimeSum:203862914 awardDistance:[590671]
,rollTimeSum:205022128 awardDistance:[1055640]
,rollTimeSum:205440479 awardDistance:[381051]
,rollTimeSum:206138712 awardDistance:[635425]
,rollTimeSum:208648972 awardDistance:[2285243]
,rollTimeSum:208964459 awardDistance:[287450]
,rollTimeSum:209643951 awardDistance:[618942]
,rollTimeSum:209663145 awardDistance:[17470]
,rollTimeSum:209873385 awardDistance:[191565]
,rollTimeSum:210414070 awardDistance:[492228]
rollTimeSum:212581891 awardDistance:[675465]
,rollTimeSum:215339349 awardDistance:[2511732]
,rollTimeSum:215949653 awardDistance:[555346]
,rollTimeSum:216105681 awardDistance:[142042]
,rollTimeSum:216403258 awardDistance:[270937]
,rollTimeSum:217699995 awardDistance:[1180654]
,rollTimeSum:218465008 awardDistance:[696976]
,rollTimeSum:219058323 awardDistance:[539952]
rollTimeSum:222109591 awardDistance:[1458029]
,rollTimeSum:223861797 awardDistance:[1595452]
,rollTimeSum:224059331 awardDistance:[180083]
,rollTimeSum:224619165 awardDistance:[509652]
,rollTimeSum:225345676 awardDistance:[661390]
,rollTimeSum:225957667 awardDistance:[557357]
,rollTimeSum:226689947 awardDistance:[666751]
rollTimeSum:229191354 awardDistance:[641691]
,rollTimeSum:229504594 awardDistance:[285163]
rollTimeSum:237702123 awardDistance:[165720]
,rollTimeSum:238027011 awardDistance:[295960]
,rollTimeSum:241734057 awardDistance:[3375080]
,rollTimeSum:242248827 awardDistance:[468461]
,rollTimeSum:243432870 awardDistance:[1078467]
,rollTimeSum:245168155 awardDistance:[1580366]
rollTimeSum:251267965 awardDistance:[176598]
,rollTimeSum:251449683 awardDistance:[165608]
,rollTimeSum:253860384 awardDistance:[2194858]
,rollTimeSum:254323080 awardDistance:[421305]
,rollTimeSum:257523418 awardDistance:[2913714]
,rollTimeSum:258787058 awardDistance:[1150463]
rollTimeSum:259727878 awardDistance:[427023]
,rollTimeSum:259975537 awardDistance:[225373]
,rollTimeSum:261997852 awardDistance:[1841544]
,rollTimeSum:266443843 awardDistance:[4048696]
,rollTimeSum:266494524 awardDistance:[46135]
rollTimeSum:268394097 awardDistance:[708026]
,rollTimeSum:270058772 awardDistance:[1516077]
,rollTimeSum:270271577 awardDistance:[193776]
,rollTimeSum:270586518 awardDistance:[286737]
,rollTimeSum:271084664 awardDistance:[453600]
,rollTimeSum:271919835 awardDistance:[760258]
,rollTimeSum:272116258 awardDistance:[178967]
,rollTimeSum:272501862 awardDistance:[351210]
,rollTimeSum:274244535 awardDistance:[1587141]
,rollTimeSum:274270948 awardDistance:[23982]
rollTimeSum:279093730 awardDistance:[468592]
,rollTimeSum:280820816 awardDistance:[1573032]
,rollTimeSum:281283961 awardDistance:[421710]
,rollTimeSum:282038721 awardDistance:[687140]
,rollTimeSum:282069509 awardDistance:[28034]
,rollTimeSum:283353282 awardDistance:[1168513]
,rollTimeSum:283640941 awardDistance:[261887]
